x,y,code
381.5,229.5,1
382.5,229.5,0
385.5,229.5,0
388.5,229.5,0
391.5,229.5,0
394.5,229.5,0
397.5,229.5,0
400.5,229.5,0
403.5,229.5,0
406.5,229.5,0
409.5,229.5,0
412.5,229.5,0
415.5,229.5,0
418.5,229.5,0
421.5,229.5,0
424.5,229.5,0
424.5,229.5,0
427.5,229.5,0
430.5,229.5,0
433.5,229.5,0
436.5,229.5,0
439.5,229.5,0
442.5,229.5,0
445.5,232.5,0
448.5,232.5,0
451.5,232.5,0
454.5,232.5,0
457.5,232.5,0
460.5,232.5,0
463.5,232.5,0
466.5,232.5,0
469.5,232.5,0
472.5,232.5,0
478.5,232.5,0
481.5,232.5,0
484.5,232.5,0
487.5,232.5,0
490.5,232.5,0
493.5,232.5,0
499.5,232.5,0
502.5,232.5,0
508.5,232.5,0
511.5,235.5,0
514.5,235.5,0
517.5,235.5,0
520.5,235.5,0
526.5,234.5,1
529.5,235.5,0
535.5,235.5,0
538.5,235.5,0
541.5,235.5,0
544.5,235.5,0
547.5,235.5,0
550.5,235.5,0
556.5,235.5,0
559.5,235.5,0
562.5,235.5,0
565.5,235.5,0
568.5,235.5,0
574.5,232.5,0
577.5,232.5,0
580.5,232.5,0
583.5,232.5,0
586.5,232.5,0
589.5,229.5,0
592.5,229.5,0
595.5,229.5,0
598.5,226.5,0
601.5,226.5,0
604.5,226.5,0
604.5,226.5,0
607.5,223.5,0
607.5,223.5,0
610.5,223.5,0
613.5,220.5,0
613.5,220.5,0
613.5,220.5,0
613.5,220.5,0
613.5,217.5,0
613.5,217.5,0
613.5,217.5,0
613.5,217.5,0
613.5,217.5,0
613.5,214.5,0
613.5,214.5,0
613.5,214.5,0
613.5,211.5,0
613.5,211.5,0
613.5,211.5,0
613.5,211.5,0
613.5,211.5,0
613.5,211.5,0
610.5,211.5,0
610.5,211.5,0
607.5,211.5,0
607.5,211.5,0
607.5,208.5,0
604.5,208.5,0
604.5,208.5,0
604.5,208.5,0
604.5,205.5,0
601.5,205.5,0
598.5,205.5,0
598.5,205.5,0
595.5,205.5,0
596.5,203.5,1
595.5,202.5,0
595.5,202.5,0
592.5,202.5,0
592.5,202.5,0
592.5,199.5,0
592.5,199.5,0
589.5,199.5,0
589.5,199.5,0
589.5,196.5,0
589.5,196.5,0
589.5,193.5,0
586.5,193.5,0
586.5,193.5,0
586.5,193.5,0
586.5,190.5,0
586.5,190.5,0
586.5,187.5,0
586.5,187.5,0
586.5,187.5,0
586.5,187.5,0
586.5,184.5,0
583.5,184.5,0
583.5,184.5,0
583.5,184.5,0
583.5,184.5,0
583.5,181.5,0
583.5,181.5,0
583.5,178.5,0
580.5,178.5,0
580.5,175.5,0
580.5,172.5,0
580.5,169.5,0
580.5,166.5,0
577.5,163.5,0
574.5,160.5,0
571.5,157.5,0
571.5,151.5,0
568.5,148.5,0
565.5,145.5,0
562.5,142.5,0
559.5,139.5,0
553.5,136.5,0
547.5,136.5,0
544.5,133.5,0
544.5,133.5,0
544.5,133.5,0
544.5,133.5,0
544.5,132.5,1

ID,Column,Variable Name,Data Type,Rank,Missing Value,Dimensions
1,A,x,System.Double,1,,frame
2,B,y,System.Double,1,,frame
3,C,code,System.Int16,1,,frame

Variable,Key,Type,Value
0,videofilepath,System.String,D:\Google Drive\Sync\bird videos\enoshima_edited.mp4
0,lambda_d,System.Double,10000
0,lambda_u,System.Double,1
0,lambda_o,System.Double,10000000
0,patch_size,System.Double,21
0,num_pca_data,System.Double,10000
0,pca_dim,System.Double,16
0,max_occlusion_duration,System.Double,250
0,matches_per_keyframe,System.Double,10
0,index_approx_ratio,System.Double,1
0,max_matches_per_frame,System.Double,1000
0,matches_appearance_threshold,System.Double,1E+100
0,index_accuracy,System.Double,3

