x,y,code
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
,,2
817.5,244.5,0
817.5,244.5,0
817.5,244.5,0
808.5,247.5,0
802.5,250.5,0
793.5,253.5,0
790.5,253.5,0
784.5,253.5,0
775.5,256.5,0
769.5,256.5,0
760.5,259.5,0
751.5,259.5,0
748.5,259.5,0
738.5,261.5,1
730.5,262.5,0
724.5,262.5,0
715.5,262.5,0
706.5,262.5,0
700.5,262.5,0
691.5,262.5,0
685.5,262.5,0
675.5,263.5,1
667.5,262.5,0
661.5,262.5,0
650.5,261.5,1
640.5,262.5,0
634.5,262.5,0
625.5,261.5,1
615.5,258.5,1
610.5,256.5,0
598.5,256.5,0
586.5,256.5,0
580.5,256.5,0
568.5,254.5,1
538.5,251.5,1
526.5,250.5,0
517.5,250.5,0
504.5,250.5,1
490.5,247.5,0
481.5,244.5,0
459.5,242.5,1
448.5,241.5,0
432.5,241.5,1
415.5,239.5,1
406.5,238.5,0
388.5,235.5,0
371.5,235.5,1
364.5,235.5,0
349.5,232.5,0
332.5,230.5,1
322.5,229.5,0
307.5,227.5,1
290.5,227.5,1
280.5,226.5,0
265.5,223.5,0
249.5,222.5,1
243.5,222.5,1
226.5,220.5,0
210.5,219.5,1
202.5,220.5,0
189.5,219.5,1
175.5,217.5,0
166.5,217.5,1
151.5,217.5,0
138.5,218.5,1
130.5,217.5,0
118.5,217.5,0
112.5,217.5,0
100.5,214.5,0
88.5,211.5,0
84.5,210.5,1
73.5,208.5,0
61.5,208.5,0
55.5,208.5,0
45.5,206.5,1
37.5,203.5,1
36.5,203.5,1
31.5,202.5,0
28.5,202.5,0
46.5,208.5,0
46.5,208.5,0
46.5,208.5,0
46.5,208.5,0
46.5,208.5,0
51.5,209.5,1
46.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
43.5,208.5,0
